Main Port Name,Country Code,Latitude,Longitude
Dillingham,United States,59.033333,-158.483333
Kotlik,United States,63.033333,-163.55
Hamilton,United States,62.9,-163.916667
Kotzebue,United States,66.916667,-162.583333
Bernard Harbor,United States,70.133333,-143.633333
Great Lakes,United States,42.3,-87.83333299999998
Houghton,United States,47.116667,-88.56666699999998
Ontonagon,United States,46.883333,-89.33333299999998
Cornucopia,United States,46.866667,-91.1
Cushman,United States,43.983333,-124.066667
Depoe Bay,United States,44.8,-124.066667
Ilwaco,United States,46.3,-124.05
Kalama,United States,46.016667,-122.85
Hoodsport,United States,47.416667,-123.133333
Keyport,United States,47.7,-122.616667
Fort Ward,United States,47.583333,-122.516667
Nisqually Head,United States,47.116667,-122.75
Coupeville,United States,48.233333,-122.683333
Fishermans Harbor,United States,55.966667,-133.8
Hood Bay,United States,57.4,-134.5
Ninilchik,United States,60.05,-151.683333
Milbridge,United States,44.533333,-67.883333
Lynn,United States,42.45,-70.95
Hyannis Port,United States,41.633333,-70.3
Kailua,United States,19.633333,-156.0
Kawaihae,United States,20.033333,-155.833333
Hana,United States,20.75,-155.983333
Kaumalapau Harbor,United States,20.783333,-157.0
Karluk,United States,57.566667,-154.45
Dry Spruce Bay,United States,57.933333,-153.033333
Hogg Island,United States,58.466667,-152.683333
Belkofski,United States,55.083333,-162.033333
Alcan Harbor,United States,52.733333,174.066667
Massacre Bay,United States,52.833333,173.233333
Egegik,United States,58.2,-157.366667
Bethel,United States,60.816667,-161.716667
Nash Harbor,United States,60.2,-166.983333
Kwiguk,United States,62.733333,-164.466667
Grantley Harbor,United States,65.266667,-166.333333
Buffington,United States,41.633333,-87.416667
L Anse,United States,46.766667,-88.466667
Copper Harbor,United States,47.466667,-87.866667
Eagle Harbor,United States,47.466667,-88.166667
La Pointe,United States,46.783333,-90.78333300000001
Glenada,United States,43.966667,-124.116667
Ahukini Landing,United States,22.0,-159.333333
Empire,United States,43.4,-124.283333
North Bend,United States,43.4,-124.216667
Coos Bay,United States,43.366667,-124.216667
Gardiner,United States,43.716667,-124.1
Florence,United States,43.966667,-124.116667
Glen Cove,United States,48.083333,-122.783333
Creosote,United States,47.616667,-122.5
East Bremerton,United States,47.566667,-122.616667
Hyder,United States,55.916667,-130.0
Hidden Inlet,United States,54.95,-130.333333
George Inlet,United States,55.383333,-131.466667
Burnett Inlet,United States,56.066667,-132.466667
Bay Of Pillars,United States,56.6,-134.233333
Kimshan Cove,United States,57.683333,-136.116667
Letnikof Cove,United States,59.183333,-135.4
Crab Bay,United States,60.066667,-148.0
Kenai,United States,60.55,-151.266667
Drift River,United States,60.55,-152.133333
